     ,2026,2026,2026,2026,2026,2026,2026
,01/06/2026,01/07/2026,01/08/2026,01/09/2026,01/10/2026,01/11/2026,01/12/2026
,30/06/2026,31/07/2026,31/08/2026,30/09/2026,31/10/2026,30/11/2026,31/12/2026
Mês,junho,julho,agosto,setembro,outubro,novembro,dezembro
Investimento,"R$ 526,82","R$ 1.416,56","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Ticket Médio,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Impressões,1.035,1.865,0,0,0,0,0
Cliques Totais,100,234,0,0,0,0,0
Leads Botão WhatsApp,0,20,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Leads Formulário,4,10,0,0,0,0,0
MQL (Manual),2,8,,,,,
SQL (Manual),2,8,,,,,
Vendas (Manual),0,0,,,,,
Receita Faturada (Manual),"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
ROAS,"0,00","0,00",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Taxa de Conversão Leads (Clique->Lead),"4,00%","4,27%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,
Custo por Clique,"R$ 5,27","R$ 6,05",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,
Custo por Lead,"R$ 131,71","R$ 141,66",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por MQL ,"R$ 263,41","R$ 177,07",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por SQL,"R$ 263,41","R$ 177,07",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Compra,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,
% Lead - MQL,"50,00%","80,00%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
 % MQL - SQL,"100,00%","100,00%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
% SQL - Vendas,"0,00%","0,00%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,
Investimento Meta,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Impressões,0,0,0,0,0,0,0
Cliques,0,0,0,0,0,0,0
CTR,,,,,,,
Leads (Conversões),0,0,0,0,0,0,0
Taxa de Conversão (Clique->Lead),,,,,,,
,,,,,,,
Custo por Clique,,,,,,,
Custo por Lead,,,,,,,
,,,,,,,
,,,,,,,
Investimento Google,"R$ 526,82","R$ 1.416,56","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
Impressões,1.035,1.865,0,0,0,0,0
Cliques,100,234,0,0,0,0,0
CTR,"9,66%","12,55%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Leads (Formulário),4,10,0,0,0,0,0
Leads (WhatsApp),0,20,0,0,0,0,0
Taxa de Conversão (Clique->Lead),"4,00%","4,27%",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,
Custo por Clique,"R$ 5,27","R$ 6,05",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Custo por Lead,"R$ 131,71","R$ 141,66",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
